date,ind,maxtp,ind,mintp,igmin,gmin,ind,rain,cbl,wdsp,ind,hm,ind,ddhm,ind,hg,sun,dos,g_rad,soil,pe,evap,smd_wd,smd_md,smd_pd
01-Jan-19,0,9.2,0,1.8,0,6.9,0,0.2,1027.8,7.5,0,11,0,260,0,19,0.1,0,95,7.5,0.3,0.4,3.1,3.1,-3.7
02-Jan-19,0,7.6,0,1.6,1,-1,0,0,1032.6,4.2,0,9,0,180,0,12,0,0,123,5.95,0.5,0.6,3.6,3.6,-3
03-Jan-19,0,7.9,0,4.9,1,-1.6,2,0,1031.1,4,0,9,0,160,0,12,0,0,114,5.95,0.5,0.6,4,4,-2.4
04-Jan-19,0,6.5,0,4.6,0,4.2,0,0,1030.9,4.8,0,8,0,160,0,12,0,0,68,5.55,0.7,0.9,4.7,4.7,-1.5
05-Jan-19,0,8.4,0,2,1,-1.9,0,0,1027.7,5.2,0,9,0,230,0,16,1.1,0,156,5.375,0.4,0.5,5.1,5.1,-1.1
06-Jan-19,0,10.1,0,7.8,0,5.3,0,0,1025.3,5.2,0,9,0,240,0,14,0.2,0,128,6.825,0.5,0.7,5.7,5.7,-0.5
07-Jan-19,0,11.3,0,5.3,0,5.9,0,0.2,1021.2,12.7,0,20,0,260,0,31,0,0,80,7.85,0.6,0.8,6,6,-0.1
08-Jan-19,0,8.3,0,1.2,0,3.4,3,0,1023,9.6,0,16,0,290,0,21,4.9,0,308,5.45,0.4,0.4,6.4,6.4,0.3
09-Jan-19,0,8.1,0,1.9,1,-2.8,2,0,1023.2,5.9,0,9,0,290,0,13,3.5,0,264,5.025,0.2,0.3,6.5,6.5,0.5
10-Jan-19,0,10.1,0,5.7,1,-0.8,0,2.1,1022.7,6.4,0,9,0,280,0,13,0,0,159,6.775,0.3,0.4,4.7,4.7,-1.3
11-Jan-19,0,9.8,0,6.7,0,6.2,2,0,1020.6,8.5,0,17,0,260,0,28,0.4,0,143,7.05,0.5,0.6,5.2,5.2,-0.8
12-Jan-19,0,10.1,0,7.1,0,6.3,0,0.2,1014.3,17,0,25,0,270,0,33,0.1,0,181,7.575,0.6,0.8,5.5,5.5,-0.3
13-Jan-19,0,10.8,0,5.3,0,6.9,0,0.4,1007.9,18.8,0,26,0,280,0,36,1,0,199,7.575,0.7,1,5.8,5.8,0
14-Jan-19,0,8.2,0,5.3,0,3.8,2,0,1011.6,9.8,0,14,0,270,0,19,0.6,0,214,6.2,0.5,0.6,6.3,6.3,0.5
15-Jan-19,0,9.5,0,6.9,0,5.7,2,0,1002.8,9.3,0,14,0,220,0,24,0.3,0,208,6.95,0.5,0.6,6.8,6.8,1
16-Jan-19,0,8.8,0,1.2,0,2.9,0,0.3,993.3,9.8,0,24,0,290,0,32,4.2,0,343,6.075,0.3,0.4,6.8,6.8,1
17-Jan-19,0,3.5,1,-1.1,1,-2.5,3,0,1002.2,8.5,0,16,0,310,0,22,3.8,0,310,2.725,0.3,0.4,7.1,7.1,1.4
18-Jan-19,0,9.1,0,2.5,1,-2.9,0,1.7,998.8,8.2,0,20,0,150,0,31,0.5,0,198,4.3,0.8,0.9,6.1,6.1,0.4
19-Jan-19,0,7.1,0,3.8,1,-0.7,0,1.9,997.3,4.2,0,9,0,300,0,12,0.9,0,222,5.375,0.2,0.3,4.4,4.4,-1.2
20-Jan-19,0,7.5,1,-1,0,3.4,0,0.1,1009.1,8.2,0,16,0,330,0,24,0.7,0,220,5.15,0.3,0.5,4.6,4.6,-0.9
21-Jan-19,0,6.5,1,-2.4,1,-5,0,2.3,1005.7,9.5,0,23,0,270,0,35,0,0,150,2.7,0.4,0.6,2.7,2.7,-2.8
22-Jan-19,0,4.1,1,-0.1,1,-0.4,3,0,992.2,11.3,0,17,0,270,0,24,2.6,0,327,2.35,0.4,0.5,3.1,3.1,-2.3
23-Jan-19,0,4.5,1,-0.6,1,-1.7,2,0,994.2,9.1,0,14,0,270,0,19,0,0,136,2.025,0.3,0.4,3.4,3.4,-1.9
24-Jan-19,0,10.2,0,4.2,0,0.2,0,2.7,1000.8,8.8,0,17,0,280,0,22,0.4,0,134,5.075,0.3,0.5,1,1,-4.1
25-Jan-19,0,10.7,0,7.6,0,5.5,2,0,1002.8,13,0,20,0,260,0,28,0.3,0,213,7.525,0.6,0.8,1.6,1.6,-3.3
26-Jan-19,0,9.9,0,3.9,0,5.7,0,7.7,987.5,11.9,0,30,0,330,0,43,0.6,0,175,7.2,0.6,0.8,0,-5.5,-10
27-Jan-19,0,5.7,0,0.1,0,0.7,2,0,988.8,17.3,0,32,0,330,0,45,5.5,0,490,3.725,0.8,1,0.8,0.8,-8.7
28-Jan-19,0,6.2,1,-0.7,1,-2.8,2,0,998.1,9,0,14,0,260,0,20,4.8,0,453,2.8,0.4,0.5,1.2,1.2,-7.9
29-Jan-19,0,3.9,1,-0.4,1,-0.1,0,3,990.1,11.7,0,22,0,280,0,28,3.7,0,370,3.075,0.4,0.5,0,-1.5,-10
30-Jan-19,0,3.4,1,-3.4,1,-2.8,3,0,985.1,8.5,0,16,0,260,0,27,6.6,0,540,1.9,0.4,0.5,0.4,0.4,-9.1
31-Jan-19,0,4,1,-5.8,1,-10.2,0,4,978.9,11.7,0,20,0,100,0,31,0,0,73,0.875,0.8,0.8,0,-2.8,-10
01-Feb-19,0,4.1,1,-1.2,1,-1.7,2,0,987.1,11.7,0,18,0,350,0,27,5.6,0,524,1.95,0.7,0.9,0.7,0.7,-8.8
02-Feb-19,0,4.9,1,-3.8,1,-8.4,3,0,1001.9,8.8,0,14,0,290,0,18,7.7,0,592,1.375,0.5,0.7,1.2,1.2,-7.9
03-Feb-19,0,9,1,-0.3,1,-5.3,0,0.9,1003.8,9.6,0,16,0,200,0,26,0.1,0,295,2.375,0.6,0.7,0.8,0.8,-7.8
04-Feb-19,0,9.5,1,-2.1,0,2.9,2,0,1003.3,9.9,0,25,0,280,0,33,6.9,0,557,4.825,0.3,0.5,1.1,1.1,-7.1
05-Feb-19,0,12.9,1,-2,1,-7.2,0,2.3,1004.1,9.8,0,18,0,150,0,26,0,0,153,4.425,0.6,0.8,0,-0.6,-8.5
06-Feb-19,0,10.8,0,3.1,0,0.4,0,3.8,995,8.8,0,15,0,210,0,22,4.4,0,500,4.8,0.9,1.1,0,-2.9,-10
07-Feb-19,0,8.9,0,0.6,1,-0.3,0,5.6,988.6,12.3,0,29,0,280,0,39,4.7,0,540,4.725,0.5,0.7,0,-5.1,-10
